208,2:05:12,Stanley Biwott,KEN,21.04.86,1,Paris,15.04.2012
208,2:05:12,Felix Chemongesi,UGA,19.08.93,3,Toronto,20.10.2019
208,2:05:12,Lawrence Cherono,KEN,07.08.88,1,Valencia,05.12.2021
208,2:05:12,Adeledelew Mamo,ETH,21.09.99,2,Sevilla,20.02.2022
208,2:05:12,Reuben Kiprop Kipyego,KEN,21.08.96,3,Rotterdam,10.04.2022
208,2:05:12,Leul Gebrselassie,ETH,20.09.93,2,London,02.10.2022
208,2:05:12,Othmane El Goumri,MAR,28.05.92,2,Barcelona,19.03.2023
215,2:05:13,Vincent Kipruto,KEN,13.09.87,3,Rotterdam,11.04.2010
215,2:05:13,Markos Geneti,ETH,30.05.84,2,Dubai,24.01.2014
215,2:05:13,Wilson Loyanai,KEN,20.11.88,1,Seoul,20.03.2016
215,2:05:13,Norbert Kigen,KEN,24.01.93,2,Amsterdam,15.10.2017
215,2:05:13,Benson Kipruto,KEN,17.03.91,4,Toronto,20.10.2019
220,2:05:15,Martin Lel,KEN,29.10.78,1,London,13.04.2008
220,2:05:15,Sammy Kirop Kitwara,KEN,26.11.86,1,Valencia,19.11.2017
220,2:05:15,Abebe Negewo,ETH,20.05.84,8,Valencia,06.12.2020
220,2:05:15,Cyprian Kotut,KEN,06.06.92,6,Amsterdam,16.10.2022
224,2:05:16,Levi Matebo,KEN,03.11.89,2,Frankfurt,30.10.2011
224,2:05:16,Sammy Kirop Kitwara,KEN,26.11.86,3,Chicago,13.10.2013
224,2:05:16,Sisay Lemma,ETH,12.12.90,4,Dubai,22.01.2016
224,2:05:16,Solomon Deksisa,ETH,11.03.94,2,Amsterdam,20.10.2019
224,2:05:16,Deso Gelmisa,ETH,14.12.97,2,Valencia,05.12.2021
229,2:05:18,Tsegay Kebede,ETH,15.01.87,1,Fukuoka,06.12.2009
229,2:05:18,Shifera Tamru,ETH,01.10.98,5,Dubai,25.01.2019
229,2:05:18,Kipyego Reuben Kiprop,KEN,21.08.96,2,Buenos Aires,22.09.2019
229,2:05:18,Elisha Kipchirchir,KEN,12.04.90,3,Amsterdam,20.10.2019
233,2:05:19,Tsegay Kebede,ETH,15.01.87,1,London,25.04.2010
233,2:05:19,Joel Kimurer,KEN,21.01.88,8,Milano,16.05.2021
233,2:05:19,Philemon Kacherian,KEN,04.07.92,3,Valencia,05.12.2021
233,2:05:19,Bashir Abdi,BEL,10.02.89,3,London,02.10.2022
233,2:05:19,Kebede Tulu,ETH,15.09.96,2,Sevilla,19.02.2023
238,2:05:20,Tsegay Kebede,ETH,15.01.87,2,London,26.04.2009
238,2:05:20,Moses Kibet,UGA,23.03.91,6,Amsterdam,17.10.2021
238,2:05:20,Timothy Kiplagat,KEN,97,1,Abu Dhabi,17.12.2022
238,2:05:20,Okbay Tsegay,ERI,01.01.86,12,Berlin,24.09.2023
242,2:05:21,Eliud Kiptanui,KEN,06.06.89,2,Berlin,27.09.2015
242,2:05:21,Daniel Wanjiru,KEN,25.05.92,1,Amsterdam,16.10.2016
242,2:05:21,Emmanuel Saina,KEN,06.09.92,1,Buenos Aires,23.09.2018
242,2:05:21,Tsegay Kebede,ETH,15.01.87,4,Valencia,02.12.2018
